Manufacturer ID,Manufacturer
365,ACURA
377,AUDI
355,BENTLEY MOTORS
211,BMW
231,CADILLAC
215,CHEVROLET
223,CHRYSLER
409,FERRARI
219,FORD
213,GMC
209,HONDA
351,HYUNDAI
385,JAGUAR
275,JEEP
361,KIA
387,LAND ROVER
243,LEXUS
469,"LUCID USA, INC."
239,MERCEDES-BENZ
425,MINI
263,MITSUBISHI
217,NISSAN
462,POLESTAR AUTOMOTIVE USA
391,PORSCHE
349,RAM
470,RIVIAN
237,TESLA
221,TOYOTA
347,VOLKSWAGEN
395,VOLVO
466,KANDI
424,KARMA
383,SUBARU
227,LINCOLN
235,BUICK
410,BYD MOTORS
225,DODGE
379,FIAT
381,SMART
359,INFINITI
389,MCLAREN
353,SCION
363,CODA AUTOMOTIVE
247,VEHICLE PRODUCTION GROUP
367,FISKER AUTOMOTIVE
229,MAZDA
241,"WHEEGO ELECTRIC CARS, INC."
233,MERCURY
371,SAAB
271,HUMMER
273,SATURN
319,SOLECTRIA
341,QUANTUM-PROCON
317,GENERAL MOTORS EV
315,PLYMOUTH
471,PEUGEOT
472,MG
473,OPEL
474,SKODA
475,RENAULT
476,CUPRA
477,SEAT
478,LIGHTYEAR
479,AIWAYS
480,DS
481,CITROEN
482,BYTON
483,SONO
484,ALFA ROMEO
485,AM GENERAL
486,AMERICAN MOTORS CORPORATION
487,ASC INCORPORATED
488,ASTON MARTIN
489,AURORA CARS LTD
490,AUTOKRAFT LIMITED
491,AVANTI MOTOR CORPORATION
492,AZURE DYNAMICS
493,BERTONE
494,BILL DOVELL MOTOR CAR COMPANY
495,BITTER GMBH AND CO. KG
496,BMW ALPINA
497,BUGATTI
498,CCC ENGINEERING
499,CONSULIER INDUSTRIES INC
500,CX AUTOMOTIVE
501,DABRYAN COACH BUILDERS INC
502,DACIA
503,DAEWOO
504,DAIHATSU
505,EAGLE
506,ENVIRONMENTAL RSCH AND DEVP CORP
507,EVANS AUTOMOBILES
508,EXCALIBUR AUTOS
509,FEDERAL COACH
510,GENERAL MOTORS
511,GENESIS
512,GEO
513,GOLDACRE
514,GRUMMAN OLSON
515,IMPORT FOREIGN AUTO SALES INC
516,IMPORT TRADE SERVICES
517,ISIS IMPORTS LTD
518,ISUZU
519,J.K. MOTORS
520,KENYON CORPORATION OF AMERICA
521,KOENIGSEGG
522,LAFORZA AUTOMOBILE INC
523,LAMBDA CONTROL SYSTEMS
524,LAMBORGHINI
525,LONDON COACH CO INC
526,LORDSTOWN
527,LOTUS
528,MAHINDRA
529,MASERATI
530,MAYBACH
531,MCEVOY MOTORS
532,MERKUR
533,MOBILITY VENTURES LLC
534,MORGAN
535,OLDSMOBILE
536,PAGANI
537,PANOZ AUTO-DEVELOPMENT
538,PANTHER CAR COMPANY LIMITED
539,PAS INC - GMC
540,PININFARINA
541,PONTIAC
542,QUANTUM TECHNOLOGIES
543,QVALE
544,RED SHIFT LTD.
545,ROLLS-ROYCE
546,ROUSH PERFORMANCE
547,RUF AUTOMOBILE GMBH
548,S AND S COACH COMPANY  E.P. DUTTON
549,SALEEN PERFORMANCE
550,SHELBY
551,SPYKER
552,SRT
553,STERLING
554,STI
555,SUPERIOR COACHES DIV E.P. DUTTON
556,SUZUKI
557,TEXAS COACH COMPANY
558,TVR ENGINEERING LTD
559,VECTOR
560,VIXEN MOTOR COMPANY
561,VOLGA ASSOCIATED AUTOMOBILE
562,VPG
563,WALLACE ENVIRONMENTAL
564,YUGO
